Price,Close,High,Low,Open,Volume
Ticker,^BSESN,^BSESN,^BSESN,^BSESN,^BSESN
Date,,,,,
2023-06-23,62979.37109375,63240.62890625,62874.12109375,63124.28125,7300
2023-06-26,62970.0,63136.08984375,62853.671875,62946.5,4400
2023-06-27,63416.03125,63467.5390625,63054.83984375,63151.8515625,4800
2023-06-28,63915.421875,64050.44140625,63554.8203125,63701.78125,6300
2023-06-30,64718.55859375,64768.578125,64068.44140625,64068.44140625,29700
2023-07-03,65205.05078125,65300.3515625,64836.16015625,64836.16015625,8800
2023-07-04,65479.05078125,65672.96875,65171.05859375,65503.8515625,6600
2023-07-05,65446.0390625,65584.328125,65256.48828125,65493.6796875,7400
2023-07-06,65785.640625,65832.9765625,65328.2890625,65391.87890625,8600
2023-07-07,65280.44921875,65898.9765625,65175.73828125,65559.40625,14300
2023-07-10,65344.171875,65633.4921875,65246.3984375,65482.328125,14400
2023-07-11,65617.84375,65870.59375,65517.5703125,65598.6484375,9800
2023-07-12,65393.8984375,65811.640625,65320.25,65759.28125,7400
2023-07-13,65558.890625,66064.2109375,65452.1484375,65667.0703125,9500
2023-07-14,66060.8984375,66159.7890625,65610.8203125,65775.4921875,10800
2023-07-17,66589.9296875,66656.2109375,66015.6328125,66148.1796875,9200
2023-07-18,66795.140625,67007.0234375,66574.46875,66828.9609375,8200
2023-07-19,67097.4375,67171.3828125,66703.609375,66905.0078125,8500
2023-07-20,67571.8984375,67619.171875,66831.3828125,67074.34375,8300
2023-07-21,66684.2578125,67190.5234375,66533.7421875,66907.0703125,13200
2023-07-24,66384.78125,66808.5625,66326.25,66629.140625,8600
2023-07-25,66355.7109375,66559.2890625,66177.6171875,66531.203125,11100
2023-07-26,66707.203125,66897.2734375,66431.34375,66434.71875,10500
2023-07-27,66266.8203125,66984.171875,66060.7421875,66834.1171875,8400
2023-07-28,66160.203125,66351.21875,65878.6484375,66266.3515625,12300
2023-07-31,66527.671875,66598.421875,65998.8984375,66156.390625,7900
2023-08-01,66459.3125,66658.1171875,66388.2578125,66532.9765625,10500
2023-08-02,65782.78125,66261.96875,65431.6796875,66064.40625,7500
2023-08-03,65240.6796875,65820.8203125,64963.078125,65550.8203125,9300
2023-08-04,65721.25,65799.2734375,65387.1796875,65453.55078125,12500
2023-08-07,65953.4765625,66067.8984375,65748.25,65811.3984375,7100
2023-08-08,65846.5,66057.53125,65752.6328125,66048.8125,6300
2023-08-09,65995.8125,66066.0078125,65444.37890625,65810.9609375,6600
2023-08-10,65688.1796875,65956.25,65509.140625,65945.390625,6000
2023-08-11,65322.6484375,65727.796875,65274.609375,65727.796875,7600
2023-08-14,65401.921875,65517.8203125,64821.87890625,65153.01953125,7600
2023-08-16,65539.421875,65605.7421875,65032.890625,65238.671875,0
2023-08-17,65151.01953125,65535.140625,65046.1015625,65503.8515625,6400
2023-08-18,64948.66015625,65175.3203125,64754.71875,65025.7109375,14300
2023-08-21,65216.08984375,65335.8203125,64852.69921875,64852.69921875,9300
2023-08-22,65220.03125,65362.91015625,65165.44921875,65272.421875,5400
2023-08-23,65433.30078125,65504.7109375,65108.51171875,65300.9296875,7100
2023-08-24,65252.33984375,65913.7734375,65181.94140625,65722.5078125,5900
2023-08-25,64886.51171875,65106.0,64732.5703125,65000.671875,51700
2023-08-28,64996.6015625,65213.44921875,64776.921875,64908.078125,20800
2023-08-29,65075.8203125,65229.03125,64956.671875,65201.3515625,48500
2023-08-30,65087.25,65458.69921875,65052.73828125,65311.578125,17700
2023-08-31,64831.41015625,65277.0390625,64723.62890625,65178.328125,48600
2023-09-01,65387.16015625,65473.26953125,64818.37109375,64855.51171875,21600
2023-09-04,65628.140625,65683.90625,65285.55859375,65525.91015625,13700
2023-09-05,65780.2578125,65831.703125,65601.46875,65671.6015625,6600
2023-09-06,65880.5234375,65971.1328125,65488.03125,65744.1875,6100
2023-09-07,66265.5625,66296.8984375,65672.34375,65854.25,6200
2023-09-08,66598.90625,66766.921875,66299.296875,66381.4296875,11500
2023-09-11,67127.078125,67172.1328125,66735.84375,66807.7265625,9300
2023-09-12,67221.1328125,67539.1015625,66948.1796875,67506.8828125,8700
2023-09-13,67466.9921875,67565.40625,67053.359375,67188.640625,6200
2023-09-14,67519.0,67771.046875,67336.4609375,67627.03125,8100
2023-09-15,67838.6328125,67927.2265625,67614.421875,67659.90625,6800
2023-09-18,67596.84375,67803.1484375,67532.828125,67665.578125,10300
2023-09-20,66800.84375,67294.15625,66728.140625,67080.1796875,13400
2023-09-21,66230.2421875,66608.671875,66128.7109375,66608.671875,8400
